CustomerID,Revenue
14646,280206.02
18102,259657.3
17450,194390.79
16446,168472.5
14911,143711.17
12415,124914.53
14156,117210.08
17511,91062.38
16029,80850.84
12346,77183.6
16684,66653.56
14096,65164.79
13694,65039.62
15311,60632.75
13089,58762.08
17949,58510.48
15769,56252.72
15061,54534.14
14298,51527.3
14088,50491.81
15749,44534.3
12931,42055.96
17841,40519.84
15098,39916.5
13798,37153.85
16013,37130.6
16422,34684.4
15838,33643.08
12748,33053.19
17404,31906.82
17389,31833.68
13098,28882.44
14680,28754.11
13081,28337.38
13408,28117.04
17857,26879.04
16333,26626.8
13777,25977.16
12753,21429.39
12744,21279.29
16210,21086.3
17675,20374.28
17381,20275.61
12471,19788.65
15039,19766.59
12731,18895.91
15159,18641.010000000002
12901,17654.54
12678,17628.46
14031,17286.86
17428,17256.85
13767,17220.36
13881,17159.52
16839,16594.35
12921,16587.09
17677,16345.38
15189,16225.39
14607,16209.5
15856,16143.64
14051,15610.390000000001
15513,14758.220000000001
16133,14589.04
14866,14389.9
16705,14034.99
12681,13787.54
12621,13689.67
12540,13400.24
12433,13375.87
15498,13316.4
12477,13219.74
17735,13110.02
16525,13027.45
14258,12669.98
13078,12627.94
12536,12601.830000000002
15640,12416.11
16000,12393.7
17340,12353.29
12682,12279.82
13113,12245.960000000001
14606,12076.15
12557,11990.960000000001
12939,11581.8
15125,11528.48
14194,11349.52
12971,11189.91
14895,11138.710000000001
12409,11072.67
17581,11025.24
15482,10879.76
13319,10845.550000000001
17107,10797.48
13340,10736.48
17139,10650.77
16779,10611.720000000001
17865,10526.32
17706,10504.49
15251,10484.99
14062,10464.85
14769,10416.98
15615,10399.74
15502,10384.93
16180,10254.18
16843,10196.57
12590,9864.26
13199,9817.12
13001,9785.970000000001
15078,9743.11
12709,9706.52
13458,9646.57
14733,9585.91
16523,9418.470000000001
12567,9401.28
14367,9227.82
14667,9175.04
18092,9068.26
12451,9035.52
13969,9024.17
13488,8968.31
13090,8910.82
16033,8778.82
17017,8694.26
17306,8631.31
16656,8625.8
17243,8540.05
14527,8507.13
12683,8476.57
